Subject,MID,MutationOperator,OperatorBefore,OperatorAfter,Class,Method,Line,CharOffset,OriginalCode,MutatedCode,EquiManualBin
Chart-1f,14525,AOR,"-(double,double)","%(double,double)",org.jfree.chart.axis.CategoryAxis,"drawCategoryLabels(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.axis.AxisState,org.jfree.chart.plot.PlotRenderingInfo)",1015,38071,state.getCursor() - this.categoryLabelPositionOffset,state.getCursor() % this.categoryLabelPositionOffset,False
Chart-1f,14636,COR,"||(boolean,boolean)","LHS(boolean,boolean)",org.jfree.chart.axis.CategoryAxis,"refreshTicks(java.awt.Graphics2D,org.jfree.chart.axis.AxisState,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1090,41527,dataArea.getHeight() <= 0.0 || dataArea.getWidth() < 0.0,dataArea.getHeight() <= 0.0,False
Chart-1f,14879,ROR,"!=(double,double)",">(double,double)",org.jfree.chart.axis.CategoryAxis,equals(java.lang.Object),1322,50279,that.categoryMargin != this.categoryMargin,that.categoryMargin > this.categoryMargin,False
Chart-1f,15115,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.axis.Axis,setAxisLineStroke(java.awt.Stroke),667,21312,stroke == null,false,False
Chart-1f,15423,LVR,POS,NEG,org.jfree.chart.axis.Axis,"drawLabel(java.lang.String,java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.axis.AxisState,org.jfree.chart.plot.PlotRenderingInfo)",1338,43715,2.0F,-2.0F,False
Chart-1f,15842,LVR,POS,NEG,org.jfree.chart.axis.ValueAxis,"<init>(java.lang.String,org.jfree.chart.axis.TickUnitSource)",300,12213,2,-2,False
Chart-1f,16232,AOR,"-(double,double)","*(double,double)",org.jfree.chart.axis.ValueAxis,"drawTickMarksAndLabels(java.awt.Graphics2D,double,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.plot.PlotRenderingInfo)",724,26790,cursor - il,cursor * il,False
Chart-1f,16276,ROR,">(double,double)",">=(double,double)",org.jfree.chart.axis.ValueAxis,"reserveSpace(java.awt.Graphics2D,org.jfree.chart.plot.Plot,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.axis.AxisSpace)",787,29086,dimension > 0.0,dimension >= 0.0,False
Chart-1f,16279,STD,<CALL>,<NO-OP>,org.jfree.chart.axis.ValueAxis,"reserveSpace(java.awt.Graphics2D,org.jfree.chart.plot.Plot,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.axis.AxisSpace)",788,29118,"space.ensureAtLeast(dimension, edge);",<NO-OP>,False
Chart-1f,16295,LVR,0,POS,org.jfree.chart.axis.ValueAxis,"reserveSpace(java.awt.Graphics2D,org.jfree.chart.plot.Plot,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.axis.AxisSpace)",809,30060,0.0,1.0,True
Chart-1f,17224,AOR,"+(double,double)","-(double,double)",org.jfree.chart.plot.CategoryCrosshairState,"updateCrosshairPoint(java.lang.Comparable,java.lang.Comparable,double,int,double,double,org.jfree.chart.plot.PlotOrientation)",137,4241,(transX - xx) * (transX - xx) + (transY - yy) * (transY - yy),(transX - xx) * (transX - xx) - (transY - yy) * (transY - yy),False
Chart-1f,17243,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.CategoryCrosshairState,"updateCrosshairX(java.lang.Comparable,java.lang.Comparable,int,double,org.jfree.chart.plot.PlotOrientation)",167,5319,orientation == PlotOrientation.HORIZONTAL,orientation != PlotOrientation.HORIZONTAL,False
Chart-1f,17799,STD,<RETURN>,<NO-OP>,org.jfree.chart.block.LengthConstraintType,readResolve(),133,4083,return LengthConstraintType.FIXED;,<NO-OP>,False
Chart-1f,18037,AOR,"+(int,int)","*(int,int)",org.jfree.chart.axis.CategoryLabelPositions,hashCode(),456,16928,37 * result + this.positionForAxisAtLeft.hashCode(),37 * result * this.positionForAxisAtLeft.hashCode(),False
Chart-1f,18132,EVR,<MEMBER_SELECT(org.jfree.chart.text.TextBlockAnchor)>,<DEFAULT>,org.jfree.chart.axis.CategoryLabelPosition,getLabelAnchor(),190,7278,this.labelAnchor,null,False
Chart-1f,18136,EVR,<MEMBER_SELECT(float)>,<DEFAULT>,org.jfree.chart.axis.CategoryLabelPosition,getWidthRatio(),226,8138,this.widthRatio,0.0F,False
Chart-1f,18193,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.axis.CategoryLabelPosition,hashCode(),272,9370,result = 37 * result + this.categoryAnchor.hashCode();,<NO-OP>,False
Chart-1f,18359,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",org.jfree.chart.renderer.category.CategoryItemRendererState,getVisibleSeriesIndex(int),180,5585,this.visibleSeries == null,this.visibleSeries != null,False
Chart-1f,18378,ROR,"==(int,int)",">=(int,int)",org.jfree.chart.renderer.category.CategoryItemRendererState,getVisibleSeriesIndex(int),185,5743,this.visibleSeries[vRow] == rowIndex,this.visibleSeries[vRow] >= rowIndex,False
Chart-1f,18384,ROR,"==(java.lang.Object,java.lang.Object)","!=(java.lang.Object,java.lang.Object)",org.jfree.chart.renderer.category.CategoryItemRendererState,getVisibleSeriesCount(),202,6094,this.visibleSeries == null,this.visibleSeries != null,False
Chart-1f,18696,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.text.TextAnchor,readResolve(),187,5624,result = TextAnchor.TOP_RIGHT;,<NO-OP>,False
Chart-1f,19223,AOR,"/(int,int)","%(int,int)",org.jfree.chart.util.PaintList,hashCode(),126,3809,size / 2,size % 2,False
Chart-1f,19531,STD,<CALL>,<NO-OP>,org.jfree.chart.ChartPanel,setChart(org.jfree.chart.JFreeChart),825,33262,this.chart.removeChangeListener(this);,<NO-OP>,False
Chart-1f,19604,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.ChartPanel,setRangeZoomable(boolean),1094,41406,this.rangeZoomable = flag && (z.isRangeZoomable());,<NO-OP>,False
Chart-1f,20408,ROR,"!=(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.ChartPanel,restoreAutoRangeBounds(),2323,82986,this.zoomPoint != null,false,False
Chart-1f,20951,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.jfree.chart.panel.ZoomHandler,mouseReleased(java.awt.event.MouseEvent),165,5981,hZoom && (e.getX() < this.zoomPoint.getX()),false,False
Chart-1f,21032,COR,<METHOD_INVOCATION(boolean)>,FALSE,org.jfree.chart.panel.ZoomHandler,"drawZoomRectangle(org.jfree.chart.ChartPanel,java.awt.Graphics2D,boolean)",243,9149,panel.getFillZoomRectangle(),false,False
Chart-1f,21178,LVR,TRUE,FALSE,org.jfree.chart.ChartTransferable,"createBufferedImage(org.jfree.chart.JFreeChart,int,int,int,int,int,int)",254,8178,true,false,False
Chart-1f,21309,LVR,<CLASS>,<EMPTY>,org.jfree.chart.ChartUtilities,"saveChartAsPNG(java.io.File,org.jfree.chart.JFreeChart,int,int,org.jfree.chart.ChartRenderingInfo,boolean,int)",349,14410,"""Null \'file\' argument.""","""""",False
Chart-1f,22233,STD,<CALL>,<NO-OP>,org.jfree.chart.StandardChartTheme,applyToXYPlot(org.jfree.chart.plot.XYPlot),1392,42944,applyToValueAxis(axis);,<NO-OP>,False
Chart-1f,22732,STD,<CALL>,<NO-OP>,org.jfree.chart.plot.PiePlot,setStartAngle(double),719,27498,fireChangeEvent();,<NO-OP>,False
Chart-1f,22843,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.PiePlot,getSectionKey(int),983,35655,key == null,true,False
Chart-1f,23249,AOR,"-(double,double)","/(double,double)",org.jfree.chart.plot.PiePlot,"calculateLinkAndExplodeAreas(java.awt.Graphics2D,java.awt.geom.Rectangle2D)",2506,83276,plotArea.getMaxX() - hGap,plotArea.getMaxX() / hGap,True
Chart-1f,23506,ROR,">(int,int)","<=(int,int)",org.jfree.chart.plot.PiePlot,"drawPie(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)",2598,87032,this.dataset.getKeys().size() > 0,this.dataset.getKeys().size() <= 0,False
Chart-1f,23551,ROR,">(double,double)","<=(double,double)",org.jfree.chart.plot.PiePlot,"drawPie(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotRenderingInfo)",2613,87784,value > 0.0,value <= 0.0,False
Chart-1f,23722,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.jfree.chart.plot.PiePlot,"drawSimpleLabels(java.awt.Graphics2D,java.util.List,double,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PiePlotState)",2771,94085,getIgnoreZeroValues(),true,False
Chart-1f,24022,AOR,"+(double,double)","%(double,double)",org.jfree.chart.plot.PiePlot,"drawLeftLabels(org.jfree.data.KeyedValues,java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,float,org.jfree.chart.plot.PiePlotState)",2951,101885,lGap / 2.0 + lGap / 2.0 * -Math.cos(theta),lGap / 2.0 % (lGap / 2.0 * -Math.cos(theta)),False
Chart-1f,24451,STD,<CALL>,<NO-OP>,org.jfree.chart.plot.PiePlot,"drawRightLabel(java.awt.Graphics2D,org.jfree.chart.plot.PiePlotState,org.jfree.chart.plot.PieLabelRecord)",3233,114460,"c.setCurve(targetX, targetY, anchorX, anchorY, elbowX, elbowY, linkX, linkY);",<NO-OP>,False
Chart-1f,24618,AOR,"/(double,double)","-(double,double)",org.jfree.chart.plot.PiePlot,"calculateAngleForValue(double,double)",3371,119666,value / total,value - total,False
Chart-1f,24795,LVR,FALSE,TRUE,org.jfree.chart.plot.PiePlot,equals(java.lang.Object),3477,123171,false,true,False
Chart-1f,25563,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.FastScatterPlot,setRangeAxis(org.jfree.chart.axis.ValueAxis),319,10770,axis == null,false,False
Chart-1f,25938,ROR,"!=(java.lang.Object,java.lang.Object)","==(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.FastScatterPlot,clone(),1079,36004,this.rangeAxis != null,this.rangeAxis == null,False
Chart-1f,26711,COR,"||(boolean,boolean)","RHS(boolean,boolean)",org.jfree.chart.plot.SpiderWebPlot,setInteriorGap(double),561,18909,(percent < 0.0) || (percent > MAX_INTERIOR_GAP),(percent > MAX_INTERIOR_GAP),False
Chart-1f,26768,STD,<CALL>,<NO-OP>,org.jfree.chart.plot.SpiderWebPlot,setBaseSeriesPaint(java.awt.Paint),753,24381,fireChangeEvent();,<NO-OP>,False
Chart-1f,26788,LVR,<CLASS>,<EMPTY>,org.jfree.chart.plot.SpiderWebPlot,setBaseSeriesOutlinePaint(java.awt.Paint),828,26762,"""Null \'paint\' argument.""","""""",False
Chart-1f,27013,AOR,"*(double,double)","+(double,double)",org.jfree.chart.plot.SpiderWebPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",1201,38595,area.getHeight() * this.headPercent,area.getHeight() + this.headPercent,False
Chart-1f,27068,LVR,POS,NEG,org.jfree.chart.plot.SpiderWebPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",1208,38848,2,-2,False
Chart-1f,27637,COR,"||(boolean,boolean)","&&(boolean,boolean)",org.jfree.chart.plot.MeterPlot,setMeterAngle(int),307,11378,angle < 1 || angle > 360,angle < 1 && angle > 360,False
Chart-1f,28062,AOR,"*(double,double)","+(double,double)",org.jfree.chart.plot.MeterPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",895,29258,radius * Math.sin(Math.PI * (valueAngle / 180)),radius + Math.sin(Math.PI * (valueAngle / 180)),False
Chart-1f,28336,AOR,"-(double,double)","/(double,double)",org.jfree.chart.plot.MeterPlot,valueToAngle(double),1062,35263,baseAngle - ((value / this.range.getLength()) * this.meterAngle),baseAngle / ((value / this.range.getLength()) * this.meterAngle),False
Chart-1f,28778,LVR,POS,NEG,org.jfree.chart.plot.ThermometerPlot,,349,12405,50.0,-50.0,False
Chart-1f,29370,ROR,"!=(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.ThermometerPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",1160,36375,this.dataset.getValue() != null,true,False
Chart-1f,30138,AOR,"-(double,double)","%(double,double)",org.jfree.chart.axis.SymbolAxis,"drawGridBandsVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,boolean,java.util.List)",441,16995,tick.getValue() - 0.5,tick.getValue() % 0.5,False
Chart-1f,30175,AOR,"-(int,int)","/(int,int)",org.jfree.chart.axis.SymbolAxis,autoAdjustRange(),470,17933,this.symbols.size() - 1,this.symbols.size() / 1,False
Chart-1f,30236,ROR,"<=(double,double)","TRUE(double,double)",org.jfree.chart.axis.SymbolAxis,autoAdjustRange(),487,18615,upper <= 0.0,true,False
Chart-1f,30503,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.jfree.chart.axis.SymbolAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",693,26597,isVerticalTickLabels(),true,False
Chart-1f,30543,LVR,0,NEG,org.jfree.chart.axis.SymbolAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",715,27590,0.0,-1.0,False
Chart-1f,30717,ROR,">(double,double)","<(double,double)",org.jfree.chart.axis.NumberAxis,autoAdjustRange(),458,17572,fixedAutoRange > 0.0,fixedAutoRange < 0.0,False
Chart-1f,31390,LVR,POS,NEG,org.jfree.chart.axis.NumberAxis,createStandardTickUnits(),781,30546,5,-5,False
Chart-1f,32014,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.jfree.chart.axis.NumberAxis,"estimateMaximumTickLabelWidth(java.awt.Graphics2D,org.jfree.chart.axis.TickUnit)",1003,41439,isVerticalTickLabels(),true,False
Chart-1f,32158,ROR,"<(int,int)","==(int,int)",org.jfree.chart.axis.NumberAxis,"refreshTicksHorizontal(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1200,48994,i < count,i == count,False
Chart-1f,32180,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.jfree.chart.axis.NumberAxis,"refreshTicksHorizontal(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1213,49614,isVerticalTickLabels(),true,False
Chart-1f,32278,ROR,"<=(int,int)","==(int,int)",org.jfree.chart.axis.NumberAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1284,52395,minorTickSpaces <= 0,minorTickSpaces == 0,False
Chart-1f,32338,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.axis.NumberAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1312,53667,edge == RectangleEdge.LEFT,false,False
Chart-1f,32365,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.axis.NumberAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1330,54477,rotationAnchor = TextAnchor.CENTER_LEFT;,<NO-OP>,False
Chart-1f,32401,AOR,"/(double,double)","+(double,double)",org.jfree.chart.axis.NumberAxis,"refreshTicksVertical(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",1342,55020,(nextTickValue - currentTickValue) * minorTick / minorTickSpaces,(nextTickValue - currentTickValue) * minorTick + minorTickSpaces,False
